group_id,slot,enemy_id,position_id,threat_priority,required_for_victory
encounter_act1_patrol,1,enemy_old_mine_entry,enemy_front,3,true
encounter_act1_patrol,2,enemy_contract_midge,enemy_middle,2,true
encounter_act1_elite,1,enemy_old_mine_contract_guard,enemy_front,4,true
encounter_act1_elite,2,enemy_contract_midge,enemy_middle,2,true
encounter_act1_elite,3,enemy_shallow_mine_beast,enemy_rear,1,true
encounter_act1_miniboss,1,enemy_ironback_mine_beast,mini_boss_front,4,true
encounter_act1_miniboss,2,enemy_contract_midge,enemy_rear,1,false
encounter_act2_wraiths,1,enemy_old_mine_wraith,enemy_front,3,true
encounter_act2_wraiths,2,enemy_collapsed_wraith,enemy_middle,2,true
encounter_act2_wraiths,3,enemy_young_sword_eater,enemy_rear,1,true
encounter_act2_elite,1,enemy_collapsed_well_guard,enemy_front,4,true
encounter_act2_elite,2,enemy_young_sword_eater,enemy_middle,2,true
encounter_act2_miniboss,1,enemy_sword_eating_mine_spirit,mini_boss_front,4,true
encounter_act2_miniboss,2,enemy_young_sword_eater,enemy_rear,1,false
encounter_act3_furnace,1,enemy_sword_furnace_guard,enemy_front,3,true
encounter_act3_furnace,2,enemy_contract_sword_shadow,enemy_middle,2,true
encounter_act3_furnace,3,enemy_furnace_construct,enemy_rear,1,true
encounter_act3_elite,1,enemy_sword_furnace_elite,enemy_front,4,true
encounter_act3_elite,2,enemy_contract_sword_shadow,enemy_middle,2,true
encounter_act3_boss,1,target_xuantie_armor,boss_upper_armor,5,true
encounter_act3_boss,2,target_contract_spike,boss_contract_spike,4,true
encounter_act3_boss,3,target_sword_furnace_core,boss_furnace_core,3,true
