pool_id,entry_order,entry_type,ref_id,count,notes
starter_general,1,card,sword_slash,2,默认起始牌组
starter_general,2,card,guard_step,2,默认起始牌组
starter_general,3,card,cloud_step,1,默认起始牌组
starter_general,4,card,jade_barrier,1,默认起始牌组
starter_wanjian,1,card,sword_slash,2,万剑主修起始牌组
starter_wanjian,2,card,guard_step,2,万剑主修起始牌组
starter_wanjian,3,card,cloud_step,1,万剑主修起始牌组
starter_wanjian,4,card,sword_focus,2,万剑主修起始牌组
starter_thunder,1,card,sword_slash,2,雷剑主修起始牌组
starter_thunder,2,card,guard_step,2,雷剑主修起始牌组
starter_thunder,3,card,cloud_step,1,雷剑主修起始牌组
starter_thunder,4,card,thunder_chain,1,雷剑主修起始牌组
starter_thunder,5,card,thunder_lead,1,雷剑主修起始牌组
starter_blood,1,card,sword_slash,2,血剑主修起始牌组
starter_blood,2,card,guard_step,2,血剑主修起始牌组
starter_blood,3,card,cloud_step,1,血剑主修起始牌组
starter_blood,4,card,blood_mark,2,血剑主修起始牌组
reward_pool,1,card,sword_slash,1,奖励池
reward_pool,2,card,sword_focus,1,奖励池
reward_pool,3,card,summon_sword,1,奖励池
reward_pool,4,card,sword_array,1,奖励池
reward_pool,5,card,sword_rain,1,奖励池
reward_pool,6,card,returning_array,1,奖励池
reward_pool,7,card,sheathe_edge,1,奖励池
reward_pool,8,card,sword_tide,1,奖励池
reward_pool,9,card,heaven_opening,1,奖励池
reward_pool,10,card,thunder_sword,1,奖励池
reward_pool,11,card,thunder_chain,1,奖励池
reward_pool,12,card,thunder_lead,1,奖励池
reward_pool,13,card,thunder_casket,1,奖励池
reward_pool,14,card,storm_sword_array,1,奖励池
reward_pool,15,card,thunder_prison,1,奖励池
reward_pool,16,card,blood_mark,1,奖励池
reward_pool,17,card,blood_sword,1,奖励池
reward_pool,18,card,blood_edge_awakening,1,奖励池
reward_pool,19,card,scarlet_feast,1,奖励池
reward_pool,20,card,blood_guard,1,奖励池
reward_pool,21,card,blood_tide_array,1,奖励池
reward_pool,22,card,guard_step,1,奖励池
reward_pool,23,card,cloud_step,1,奖励池
reward_pool,24,card,spirit_draw,1,奖励池
reward_pool,25,card,meridian_breath,1,奖励池
reward_pool,26,card,jade_barrier,1,奖励池
reward_pool,27,card,wanjian_burst,1,奖励池
reward_pool,28,card,heaven_thunder,1,奖励池
reward_pool,29,card,blood_execution,1,奖励池
